1,BRASIL,55
2,ARGENTINA,54
3,BOLÍVIA,591
4,CHILE,56
5,COLÔMBIA,57
6,EQUADOR,593
7,GUIANA,592
8,PARAGUAI,595
9,PERU,51
10,SURINAME,597
11,URUGUAI,598
12,VENEZUELA,58
13,AFGHANISTÃO,93
14,AUSTRÁLIA,61
15,BAHAMAS,994
16,CATAR,974
17,DINAMARCA,1767
18,ESPANHA,34
19,GRECIA,30
20,LETONIA,371
21,LIBIA,218
22,SUECIA,46
23,SUIÇA,41
24,URUGUAI,598
25,UCRANIA,380
26,BRASIL,55
27,ARGENTINA,54
28,BOLÍVIA,591
29,CHILE,56
30,COLÔMBIA,57
31,EQUADOR,593
32,GUIANA,592
33,PARAGUAI,595
34,PERU,51
35,SURINAME,597
36,URUGUAI,598
37,VENEZUELA,58
38,AFGHANISTÃO,93
39,AUSTRÁLIA,61
40,BAHAMAS,994
41,CATAR,974
42,DINAMARCA,1767
43,ESPANHA,34
44,GRECIA,30
45,LETONIA,371
46,LIBIA,218
47,SUECIA,46
48,SUIÇA,41
49,URUGUAI,598
50,UCRANIA,380
